input_file,time,rmse,mae,bucket_length,num_hash_tables,threshold,repartitions,timestamp
data/25M.csv,413.27896761894226,1.1872358169298232,0.9662215319751063,2.0,1,1.2,8,20250522_154714
data/25M.csv,398.9274413585663,1.1870455147690382,0.9662405469214084,2.0,1,1.2,4,20250522_153702
data/20M.csv,425.9744372367859,1.1764951116596851,0.9510593290150706,2.0,1,1.2,16,20250522_150916
data/20M.csv,374.7238426208496,1.1751452505683389,0.9497067911721556,2.0,1,1.2,8,20250522_145915
data/20M.csv,334.6061420440674,1.1756614881734535,0.9502273504376046,2.0,1,1.2,4,20250522_145013
data/20M.csv,345.7618474960327,1.1758529239834583,0.9505103850609036,2.0,1,1.2,2,20250522_144156
data/20M.csv,326.1795599460602,1.1765039658786285,0.9511082973089392,2.0,1,1.2,1,20250522_143305
data/10M.csv,366.93255496025085,1.1726534258522952,0.9386491507266098,2.0,1,1.2,16,20250522_142501
data/10M.csv,292.5874559879303,1.1784331811751478,0.940815396796294,2.0,1,1.2,8,20250522_141550
data/10M.csv,311.68237543106085,1.1794322937138892,0.9344466798039441,2.0,1,1.2,4,20250522_140821
data/10M.csv,266.5275926589966,1.1767533840521391,0.9341043848849278,2.0,1,1.2,2,20250522_140103
data/10M.csv,284.87384366989136,1.1786036392001813,0.9448779526918996,2.0,1,1.2,1,20250522_135400
data/1M.csv,306.1539814472198,1.1092549607019615,0.8559533730621811,2.0,1,1.2,16,20250522_134646
data/1M.csv,490.31574511528015,1.0978085445743944,0.8483625244831915,2.0,1,1.2,16,20250522_134434
data/1M.csv,294.35838317871094,1.0971666195166845,0.8468127512479292,2.0,1,1.2,8,20250522_133910
data/1M.csv,462.1900448799133,1.1008356499954437,0.8497253176152042,2.0,1,1.2,8,20250522_133254
data/1M.csv,293.9478206634521,1.0919889934882958,0.8439011512427236,2.0,1,1.2,4,20250522_133151
data/1M.csv,272.6034746170044,1.0962673154014213,0.8449266351246706,2.0,1,1.2,2,20250522_132429
data/1M.csv,287.5411078929901,1.0980337180548996,0.8467882081461483,2.0,1,1.2,4,20250522_132128
data/1M.csv,268.15315318107605,1.1032557063044952,0.8510442985084141,2.0,1,1.2,1,20250522_131740
