input_file,time,rmse,mae,bucket_length,num_hash_tables,threshold,timestamp
data/10M.csv,1616.0890698432922,0.9643273091973793,0.7347030547779413,2.0,1,1.2,20250525_232914
data/100k.csv,56.24875211715698,0.9050403694330648,0.6871107771295887,2.0,1,1.2,20250525_224836
data/100k.csv,52.31478023529053,0.9126345096503872,0.696368465963497,2.0,1,1.2,20250525_223047
data/100k.csv,55.517284870147705,0.9128773929459104,0.6942849410383063,2.0,1,1.2,20250525_222916
data/10M.csv,4299.324984788895,0.9643056712127728,0.7343412378838846,2.0,1,1.2,20250525_164826
data/1M.csv,228.74408507347107,0.989311836863468,0.7671686071613273,2.0,1,1.2,20250525_145721
data/100k.csv,61.80028796195984,0.9195430669784804,0.7006868346028473,2.0,1,1.2,20250525_144845
data/100k.csv,48.46886491775513,0.90450364722948,0.6891123906027301,2.0,1,1.2,20250525_144524
data/10M.csv,1824.399755001068,0.9645488599561118,0.7341223657332615,2.0,1,1.2,20250525_140709
data/10M.csv,4341.311883211136,0.9633357683637505,0.7335166522442915,2.0,1,1.2,20250525_110018
data/10M.csv,4976.304787158966,0.9654474196676656,0.7351187201928412,2.0,1,1.2,20250524_225423
data/1M.csv,240.34568214416504,0.9908314167166732,0.7689098110243381,2.0,1,1.2,20250524_203743
data/1M.csv,119.74047088623048,0.9919653334353296,0.7686133209486784,2.0,1,1.2,20250524_202951
data/1M.csv,244.05206203460693,0.9880716265242128,0.7665622320147824,2.0,1,1.2,20250524_202416
data/1M.csv,124.91841101646423,0.9912587819220894,0.76769791264153,2.0,1,1.2,20250524_201743
data/100k.csv,63.21599197387695,0.905932284358848,0.6887257266328106,2.0,1,1.2,20250524_201221
data/100k.csv,56.393386125564575,0.9123507240146094,0.6987183245840846,2.0,1,1.2,20250524_200606
data/100k.csv,68.29074835777283,0.9058333317090134,0.6879907034744631,2.0,1,1.2,20250524_200401
